Genotype,Sample,X,Y
1214,2240,90.91667,-0.01378753338
1214,2240,90.95,-0.01366989402
1214,2240,90.98333,-0.01353320197
1214,2240,91.01667,-0.01337672773
1214,2240,91.05,-0.01319471476
1214,2240,91.08333,-0.01298325169
1214,2240,91.11667,-0.01274580797
1214,2240,91.15,-0.01248769827
1214,2240,91.18333,-0.01222737745
1214,2240,91.21667,-0.01203586119
1214,2240,91.25,-0.0119973054
1214,2240,91.28333,-0.0121736168
1214,2240,91.31667,-0.01253770546
1214,2240,91.35,-0.0130402323
1214,2240,91.38333,-0.01362432437
1214,2240,91.41667,-0.01420297328
1214,2240,91.45,-0.01468163681
1214,2240,91.48333,-0.01497733125
1214,2240,91.51667,-0.01505330716
1214,2240,91.55,-0.01488437361
1214,2240,91.58333,-0.01447412906
1214,2240,91.61667,-0.01394132939
1214,2240,91.65,-0.01343351987
1214,2240,91.68333,-0.01308169868
1214,2240,91.71667,-0.01295067568
1214,2240,91.75,-0.01308871371
1214,2240,91.78333,-0.01350952057
1214,2240,91.81667,-0.01408858413
1214,2240,91.85,-0.01466683726
1214,2240,91.88333,-0.01510826465
1214,2240,91.91667,-0.01536905818
1214,2240,91.95,-0.01542846157
1214,2240,91.98333,-0.01528579239
1214,2240,92.01667,-0.01502066382
1214,2240,92.05,-0.0147327629
1214,2240,92.08333,-0.01451105772
1214,2240,92.11667,-0.01440164043
1214,2240,92.15,-0.01443988425
1214,2240,92.18333,-0.01464341568
1214,2240,92.21667,-0.01495887462
1214,2240,92.25,-0.01531515425
1214,2240,92.28333,-0.01565008063
1214,2240,92.31667,-0.01593721123
1214,2240,92.35,-0.01615903635
1214,2240,92.38333,-0.01630467727
1214,2240,92.41667,-0.01638977908
1214,2240,92.45,-0.01643661783
1214,2240,92.48333,-0.01646252284
1214,2240,92.51667,-0.01646503659
1214,2240,92.55,-0.01643675482
1214,2240,92.58333,-0.01636992244
1214,2240,92.61667,-0.01625538089
1214,2240,92.65,-0.01608362075
1214,2240,92.68333,-0.01585218742
1214,2240,92.71667,-0.01558684562
1214,2240,92.75,-0.01532041484
1214,2240,92.78333,-0.01508655461
1214,2240,92.81667,-0.01492228437
1214,2240,92.85,-0.01486546354
1214,2240,92.88333,-0.01494355927
1214,2240,92.91667,-0.01514246957
1214,2240,92.95,-0.01543770015
1214,2240,92.98333,-0.01579777955
1214,2240,93.01667,-0.01616332758
1214,2240,93.05,-0.01646798688
1214,2240,93.08333,-0.01666045508
1214,2240,93.11667,-0.01674964968
1214,2240,93.15,-0.0167595432
1214,2240,93.18333,-0.0167119522
1214,2240,93.21667,-0.0166200696
1214,2240,93.25,-0.01649493238
1214,2240,93.28333,-0.01634925343
1214,2240,93.31667,-0.0162024492
1214,2240,93.35,-0.01607561204
1214,2240,93.38333,-0.01598843756
1214,2240,93.41667,-0.01595503451
1214,2240,93.45,-0.01598811487
1214,2240,93.48333,-0.01608812089
1214,2240,93.51667,-0.01620641585
1214,2240,93.55,-0.01628209324
1214,2240,93.58333,-0.01626978456
1214,2240,93.61667,-0.01618627311
1214,2240,93.65,-0.01606388015
1214,2240,93.68333,-0.01592749961
1214,2240,93.71667,-0.01577231604
1214,2240,93.75,-0.01558608668
1214,2240,93.78333,-0.01536489265
1214,2240,93.81667,-0.01513811064
1214,2240,93.85,-0.01494344129
1214,2240,93.88333,-0.01482403712
1214,2240,93.91667,-0.01484485838
1214,2240,93.95,-0.01507631728
1214,2240,93.98333,-0.01555674002
1214,2240,94.01667,-0.016196109
1214,2240,94.05,-0.01687232069
1214,2240,94.08333,-0.01747309027
1214,2240,94.11667,-0.01792540801
1214,2240,94.15,-0.0181660829
1214,2240,94.18333,-0.01815150116
1214,2240,94.21667,-0.01791635788
1214,2240,94.25,-0.01751492533
1214,2240,94.28333,-0.01700654451
1214,2240,94.31667,-0.01647083121
1214,2240,94.35,-0.01599246993
1214,2240,94.38333,-0.01564743779
1214,2240,94.41667,-0.01547688244
1214,2240,94.45,-0.01551324418
1214,2240,94.48333,-0.015763329
1214,2240,94.51667,-0.01613140562
1214,2240,94.55,-0.01649610848
1214,2240,94.58333,-0.01675870697
1214,2240,94.61667,-0.01691101027
1214,2240,94.65,-0.01696746251
1214,2240,94.68333,-0.01694282002
1214,2240,94.71667,-0.01685308794
1214,2240,94.75,-0.01671458358
1214,2240,94.78333,-0.01653939716
1214,2240,94.81667,-0.01632271058
1214,2240,94.85,-0.0160554786
1214,2240,94.88333,-0.01573347415
1214,2240,94.91667,-0.01537174264
1214,2240,94.95,-0.01499014759
